Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Churn Category,Churn Reason,Churn Score,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
58,2.03,34.27,Price,Service dissatisfaction,72,Solisside,2664,Two Year,United States,558-AGGZZ,Churned,0,0,Female,1,Cable,"40.513807, -115.421219",40.513807,-115.421219,0,64.35,0,0,0,Offer D,0,1,1,0,Credit Card,1,88333,0,Q4,0,4,0,California,1,0,1,14,811.28,0.0,449.86,0.0,1261.1399999999999,0,0,94847,1
32,32.62,0.0,,,33,West Lisaborough,6379,Month-to-Month,United States,8495-EHWMX,Stayed,0,1,Male,1,Fiber Optic,"37.454056, -120.367511",37.454056,-120.367511,0,27.27,0,0,0,Offer E,1,1,0,1,Credit Card,0,71341,1,Q4,0,2,0,California,1,0,1,31,904.51,0.0,0.0,15.82,888.6899999999999,0,0,95973,0
52,0.0,42.63,Attitude,Limited range of services,76,North Kenneth,2850,Month-to-Month,United States,4145-ROWUT,Churned,1,0,Male,1,Fiber Optic,"33.097618, -120.286592",33.097618,-120.286592,1,53.43,1,1,9,Offer D,0,0,1,0,Mailed Check,1,85252,0,Q4,1,3,0,California,0,0,0,19,1032.93,0.0,826.17,0.0,1859.1,0,1,93349,1
75,0.0,3.27,,,54,Manningchester,3645,Two Year,United States,5704-WUYZO,Stayed,0,0,Male,0,,"33.850606, -123.276455",33.850606,-123.276455,0,63.99,0,0,0,Offer E,0,0,0,0,Bank Withdrawal,1,92994,0,Q4,0,5,1,California,0,0,0,26,1807.02,0.0,84.71,0.0,1891.73,0,0,94969,0
60,34.86,26.5,,,5,Coxstad,3552,One Year,United States,7846-OIZAZ,Stayed,2,0,Male,0,,"39.12535, -119.334537",39.12535,-119.334537,0,31.38,0,2,1,Offer E,0,0,0,1,Bank Withdrawal,0,70915,0,Q4,1,4,0,California,0,0,0,19,546.03,0.0,468.39,0.0,1014.42,0,0,92117,0
45,1.29,43.65,,,5,North Nicoleborough,3038,Month-to-Month,United States,9146-VBUXP,Stayed,0,0,Male,0,,"37.7759, -117.756376",37.7759,-117.756376,1,86.66,0,0,0,Offer D,0,0,0,1,Bank Withdrawal,1,34533,0,Q4,0,3,0,California,0,0,0,18,1408.15,0.0,854.35,0.0,2262.5,0,0,94578,0
50,50.79,0.0,,,20,Rodriguezborough,2660,Month-to-Month,United States,5779-QKEOC,Joined,0,0,Female,0,,"38.586055, -114.847233",38.586055,-114.847233,1,55.68,1,0,0,Offer D,0,0,0,1,Bank Withdrawal,1,11222,0,Q4,0,3,0,California,0,0,0,64,3250.0,0.0,0.0,0.0,3250.0,0,0,91885,0
70,0.0,19.73,Attitude,Poor expertise of phone support,65,Johnland,4741,Month-to-Month,United States,8537-WUSEN,Churned,0,0,Male,0,,"37.06564, -118.812757",37.06564,-118.812757,0,111.81,0,0,4,,0,0,1,1,Bank Withdrawal,1,89202,0,Q4,1,5,1,California,0,0,0,11,1132.42,9.06,232.48,0.0,1373.96,0,0,96153,1
51,24.56,43.43,,,19,East Lee,5610,One Year,United States,2554-VMSQH,Stayed,0,1,Male,1,DSL,"41.178395, -118.46035",41.178395,-118.46035,1,68.46,1,0,0,Offer D,1,1,1,1,Bank Withdrawal,1,10761,0,Q4,0,4,0,California,1,0,0,29,1819.97,0.0,1324.73,0.0,3144.7,0,1,90863,0
20,8.47,4.01,,,26,Williamstown,3974,One Year,United States,9032-PDWMM,Joined,0,0,Female,0,,"39.186235, -116.846478",39.186235,-116.846478,0,100.12,0,0,0,Offer A,0,0,1,1,Credit Card,1,90061,0,Q4,0,2,0,California,0,0,0,45,4575.62,0.0,177.73,0.0,4753.349999999999,1,0,94237,0
51,12.1,7.97,,,17,Kimberlyfort,6463,Month-to-Month,United States,6272-YHGHP,Joined,0,0,Male,0,,"38.214006, -124.023664",38.214006,-124.023664,0,87.87,0,0,0,Offer D,0,0,1,1,Bank Withdrawal,1,35374,0,Q4,0,4,0,California,0,0,0,37,3038.65,0.0,296.69,0.0,3335.34,0,0,95784,0
26,0.0,0.0,Dissatisfaction,Long distance charges,92,East Danielleville,4924,One Year,United States,7972-GHILX,Churned,3,1,Female,1,Fiber Optic,"33.949106, -118.274549",33.949106,-118.274549,0,118.06,0,3,10,Offer C,0,1,0,0,Bank Withdrawal,0,51005,0,Q4,1,4,0,California,1,1,0,26,2808.8,0.0,0.0,0.0,2808.8,1,0,95786,1
65,0.0,16.81,,,34,North Robert,3248,Two Year,United States,6894-WFGHA,Joined,0,1,Male,1,Fiber Optic,"36.665535, -120.970396",36.665535,-120.970396,1,52.69,0,0,2,Offer A,1,1,0,0,Bank Withdrawal,0,72473,0,Q4,1,4,1,California,1,0,0,28,1569.32,20.24,444.58,0.0,2034.1399999999999,0,1,95537,0
65,6.39,7.5,,,27,East Sean,5445,One Year,United States,368-MPLLG,Stayed,0,0,Female,0,,"34.280485, -123.561981",34.280485,-123.561981,0,81.55,0,0,0,Offer B,0,0,1,1,Bank Withdrawal,0,26034,0,Q4,0,1,1,California,0,0,0,24,1881.92,0.0,196.93,0.0,2078.85,0,0,93347,0
20,0.15,18.12,,,8,North Samantha,4899,Two Year,United States,9728-JLSSS,Stayed,2,0,Female,0,,"32.908333, -124.177056",32.908333,-124.177056,1,43.9,0,2,5,,0,0,0,0,Credit Card,0,17182,0,Q4,1,3,0,California,0,0,0,63,3009.23,0.0,1042.32,0.0,4051.55,1,0,92085,0
57,20.94,33.19,,,42,Ericton,3982,Two Year,United States,5744-JZHCN,Stayed,0,1,Female,1,Fiber Optic,"34.194197, -114.31233",34.194197,-114.31233,0,87.3,0,0,0,Offer A,0,1,0,1,Bank Withdrawal,1,7862,1,Q4,0,3,0,California,0,1,1,1,79.26,0.0,32.32,0.0,111.58000000000001,0,0,95441,0
46,15.78,47.3,,,23,Andersonside,4029,One Year,United States,686-SOIOT,Stayed,1,1,Female,1,DSL,"40.788994, -122.929093",40.788994,-122.929093,0,20.69,0,1,0,Offer A,0,1,1,0,Credit Card,0,42109,0,Q4,0,2,0,California,1,0,1,52,1098.4,0.0,2642.78,0.0,3741.1800000000003,0,0,95504,0
18,0.0,33.95,Dissatisfaction,Attitude of service provider,81,Lake Ryan,4429,Two Year,United States,9272-HQLAH,Churned,2,0,Male,0,,"34.269952, -118.542679",34.269952,-118.542679,1,61.85,0,2,0,Offer E,0,0,0,0,Mailed Check,1,69267,0,Q4,0,4,0,California,0,0,0,45,2896.34,0.0,1629.94,0.0,4526.280000000001,1,0,91010,1
56,42.06,7.5,Price,Poor expertise of online support,68,Marissatown,5583,Month-to-Month,United States,3003-WMONR,Churned,0,0,Female,0,,"40.216066, -124.142229",40.216066,-124.142229,1,51.07,0,0,0,Offer D,0,0,1,0,Bank Withdrawal,0,95365,0,Q4,0,1,0,California,0,0,0,1,48.26,0.0,8.19,0.0,56.449999999999996,0,0,91214,1
64,29.03,0.0,Competitor,Lack of self-service on Website,87,Port Robert,2611,Month-to-Month,United States,3592-EOSUJ,Churned,0,1,Male,1,DSL,"34.531321, -120.94502",34.531321,-120.94502,1,31.44,0,0,0,Offer D,1,0,0,0,Bank Withdrawal,1,19071,0,Q4,0,1,0,California,1,1,0,38,1259.62,0.0,0.0,0.0,1259.62,0,1,90229,1
55,26.61,19.63,,,24,Nicoleborough,6248,Month-to-Month,United States,8162-MHFPQ,Joined,0,1,Male,1,Fiber Optic,"34.675875, -117.279703",34.675875,-117.279703,0,77.03,1,0,0,Offer B,0,1,0,1,Credit Card,1,98267,0,Q4,0,1,0,California,0,0,1,29,2274.08,0.0,594.16,0.0,2868.24,0,0,92020,0
31,34.0,0.0,,,45,Port Dominique,3192,Month-to-Month,United States,1803-TKUGK,Joined,0,1,Female,1,Fiber Optic,"34.695541, -118.004184",34.695541,-118.004184,1,108.84,0,0,7,,1,1,0,1,Bank Withdrawal,0,56083,0,Q4,1,2,0,California,1,1,0,36,3735.64,0.0,0.0,0.0,3735.64,0,0,91400,0
28,16.19,7.88,,,26,Thomaston,5919,Two Year,United States,7780-HHQWG,Stayed,0,0,Male,0,,"38.420828, -122.648634",38.420828,-122.648634,0,51.72,0,0,0,Offer E,0,0,0,0,Bank Withdrawal,1,51242,0,Q4,0,5,0,California,0,0,0,1,55.44,0.0,8.02,33.42,30.039999999999992,1,0,94482,0
51,6.7,20.06,Dissatisfaction,Don't know,85,Ashleyhaven,3391,Month-to-Month,United States,7243-SNHUU,Churned,0,0,Male,0,,"34.180968, -117.797972",34.180968,-117.797972,0,34.73,0,0,0,,0,0,1,1,Credit Card,0,59713,0,Q4,0,3,0,California,0,0,0,1,32.27,36.84,21.59,0.0,90.7,0,0,94370,1
30,5.14,42.15,Price,Poor expertise of online support,76,West Jenniferview,4882,Month-to-Month,United States,5075-ZLNEF,Churned,0,0,Male,0,,"37.725576, -121.169647",37.725576,-121.169647,1,109.79,0,0,9,Offer B,0,0,0,0,Mailed Check,0,19145,0,Q4,1,1,0,California,0,0,0,10,1203.7,0.0,410.28,0.0,1613.98,0,0,94544,1
34,35.41,16.19,,,12,East Autumn,3084,Month-to-Month,United States,9984-MYJYK,Stayed,0,0,Male,1,Fiber Optic,"34.68951, -119.647877",34.68951,-119.647877,0,71.35,0,0,0,Offer A,1,1,0,0,Bank Withdrawal,0,54710,1,Q4,0,5,0,California,1,0,0,43,3130.35,0.0,646.01,0.0,3776.3599999999997,0,1,94871,0
65,15.71,21.35,,,51,West John,4604,Two Year,United States,8421-LCJCY,Stayed,0,1,Male,1,DSL,"38.755257, -119.337289",38.755257,-119.337289,0,121.54,0,0,0,Offer E,0,1,1,0,Credit Card,0,39522,1,Q4,0,1,1,California,0,1,0,5,629.43,0.0,112.42,0.0,741.8499999999999,0,1,90120,0
33,21.77,3.02,,,30,Jonestown,3997,Two Year,United States,3578-RAFCL,Stayed,0,1,Male,1,Cable,"33.159303, -115.497979",33.159303,-115.497979,1,73.71,0,0,0,,1,0,0,0,Credit Card,0,15116,1,Q4,0,5,0,California,0,0,0,69,5159.97,0.0,211.99,0.0,5371.96,0,0,91191,0
39,0.0,0.0,,,22,Ethanborough,3178,Two Year,United States,3074-RCXFY,Stayed,0,0,Male,0,,"37.422527, -118.502803",37.422527,-118.502803,0,56.73,0,0,0,Offer A,0,0,0,0,Bank Withdrawal,0,22075,0,Q4,0,2,0,California,0,0,0,34,1924.27,0.0,0.0,0.0,1924.27,0,0,94180,0
33,6.75,0.0,Attitude,Competitor made better offer,79,Port Phillip,6250,Two Year,United States,935-IYAEJ,Churned,1,0,Female,0,,"38.285865, -122.385861",38.285865,-122.385861,0,68.4,0,1,1,Offer B,0,0,1,0,Credit Card,0,38494,0,Q4,1,3,0,California,0,0,0,71,5021.1,0.0,0.0,0.0,5021.1,0,0,90819,1
18,30.01,49.78,,,27,Derrickfurt,5967,Two Year,United States,6795-LVELT,Stayed,0,1,Female,1,Fiber Optic,"39.807714, -121.642527",39.807714,-121.642527,0,76.65,1,0,10,Offer A,0,1,1,0,Bank Withdrawal,1,23855,0,Q4,1,3,0,California,0,1,1,39,3271.86,78.9,2118.7,17.49,5451.969999999999,1,1,93608,0
60,38.62,38.69,,,39,Trevorbury,3516,One Year,United States,9341-TNFHA,Joined,0,0,Male,0,,"40.197337, -120.873769",40.197337,-120.873769,1,65.73,1,0,0,Offer C,0,0,1,0,Bank Withdrawal,1,26981,0,Q4,0,5,0,California,0,0,0,71,4700.05,0.0,2834.85,0.0,7534.9,0,0,91295,0
59,0.0,43.61,,,54,Donnabury,5462,One Year,United States,5692-CGQAE,Joined,2,0,Male,0,,"40.573402, -120.926858",40.573402,-120.926858,1,48.28,0,2,1,Offer C,0,0,1,0,Bank Withdrawal,0,26865,0,Q4,1,5,0,California,0,0,0,41,2006.73,0.0,1780.39,0.0,3787.12,0,0,93033,0
52,74.89,39.53,Other,Lack of affordable download/upload speed,96,Marcushaven,3867,Month-to-Month,United States,3055-CEXZK,Churned,0,0,Female,0,,"32.67428, -123.722698",32.67428,-123.722698,0,27.88,0,0,4,Offer E,0,0,1,1,Bank Withdrawal,0,60841,0,Q4,1,3,0,California,0,0,0,24,615.39,0.0,926.59,0.0,1541.98,0,0,95023,1
55,20.07,0.0,Other,Moved,87,Jenkinsfort,3289,Month-to-Month,United States,9223-WXKMY,Churned,0,0,Female,0,,"41.122258, -117.24294",41.122258,-117.24294,0,78.53,1,0,0,Offer E,0,0,1,1,Bank Withdrawal,1,34211,0,Q4,0,1,0,California,0,0,0,57,4426.26,0.0,0.0,0.0,4426.26,0,0,92583,1
56,10.65,26.83,,,64,Pittsshire,4175,Month-to-Month,United States,7107-BYTKP,Stayed,0,0,Female,0,,"38.597833, -123.148847",38.597833,-123.148847,0,54.5,0,0,0,Offer B,0,0,0,1,Bank Withdrawal,1,36179,0,Q4,0,2,0,California,0,0,0,63,3627.33,0.0,1649.13,0.0,5276.46,0,0,92125,0
30,3.86,24.51,,,15,Lake Richard,4861,Month-to-Month,United States,6073-AISXQ,Stayed,0,0,Male,0,,"38.670103, -116.802806",38.670103,-116.802806,1,84.81,1,0,0,Offer B,0,0,1,0,Credit Card,1,78774,0,Q4,0,3,0,California,0,0,0,53,4705.07,10.17,1220.67,37.35,5898.5599999999995,0,0,91121,0
27,44.13,37.0,,,63,Port Annebury,3279,Month-to-Month,United States,1276-ZEWEW,Joined,0,0,Male,0,,"37.111049, -115.375927",37.111049,-115.375927,0,77.8,0,0,0,Offer B,0,0,0,1,Bank Withdrawal,0,24448,0,Q4,0,1,0,California,0,0,0,28,2107.5,0.0,940.57,0.0,3048.07,1,0,92840,0
51,53.24,31.34,,,16,Perezfort,5081,One Year,United States,342-VEJXC,Stayed,0,0,Female,1,DSL,"35.83864, -121.810329",35.83864,-121.810329,1,108.95,0,0,0,Offer C,1,1,0,0,Bank Withdrawal,0,30294,0,Q4,0,3,0,California,0,1,0,53,5292.36,0.0,1622.98,0.0,6915.34,0,1,94273,0
37,22.65,25.72,Dissatisfaction,Attitude of service provider,74,Nicolefurt,3744,One Year,United States,7641-FQQIQ,Churned,0,0,Male,0,,"41.863116, -123.928064",41.863116,-123.928064,0,120.48,0,0,5,Offer D,0,0,0,0,Bank Withdrawal,1,10417,0,Q4,1,4,0,California,0,0,0,1,113.12,0.0,27.3,0.0,140.42000000000002,0,0,95559,1
57,55.43,3.02,,,54,Lake Stephenchester,2750,Month-to-Month,United States,810-LMWCQ,Stayed,0,0,Female,0,,"41.312473, -118.209805",41.312473,-118.209805,0,10.0,0,0,1,,0,0,0,1,Credit Card,0,7921,0,Q4,1,5,0,California,0,0,0,25,259.71,0.0,81.89,0.0,341.59999999999997,0,0,94218,0
34,46.28,8.37,,,62,Beckermouth,2216,Two Year,United States,5549-GCOEW,Joined,1,0,Male,0,,"37.64654, -116.085432",37.64654,-116.085432,0,150.76,1,1,2,Offer C,0,0,1,1,Bank Withdrawal,1,96326,0,Q4,1,1,0,California,0,0,0,6,977.37,0.0,45.43,0.36,1022.4399999999999,0,0,90287,0
20,6.14,31.42,,,28,Chadfurt,2996,One Year,United States,651-LBQKE,Stayed,1,0,Female,0,,"33.305242, -119.341939",33.305242,-119.341939,0,10.0,0,1,0,Offer A,0,0,0,0,Bank Withdrawal,1,21568,0,Q4,0,2,0,California,0,0,0,32,335.24,66.96,969.41,0.0,1371.6100000000001,1,0,90041,0
43,16.63,36.63,,,52,Lake Brian,5234,Two Year,United States,5711-DLFIT,Joined,0,0,Female,1,DSL,"39.758498, -124.231978",39.758498,-124.231978,1,10.0,0,0,8,Offer B,1,1,1,0,Bank Withdrawal,1,84626,0,Q4,1,1,0,California,0,1,1,7,67.56,0.0,280.31,0.0,347.87,0,1,91588,0
51,1.71,0.0,,,59,East Kaitlynview,5719,Two Year,United States,548-LHBJS,Joined,0,0,Male,0,,"40.530082, -121.132503",40.530082,-121.132503,1,91.56,0,0,0,Offer A,0,0,0,0,Bank Withdrawal,0,25587,0,Q4,0,3,0,California,0,0,0,1,99.71,0.0,0.0,0.0,99.71,0,0,90122,0
35,15.85,39.82,Dissatisfaction,Moved,65,New Elizabeth,2194,Month-to-Month,United States,1515-FEXVD,Churned,1,1,Male,1,Cable,"34.993704, -116.951414",34.993704,-116.951414,0,118.44,0,1,0,Offer D,1,0,0,0,Credit Card,1,65306,1,Q4,0,5,0,California,0,0,0,60,7249.17,62.98,2414.49,0.0,9726.64,0,0,95549,1
37,57.08,24.7,,,46,Vasquezberg,4743,Month-to-Month,United States,270-FRGCI,Stayed,3,0,Male,1,Fiber Optic,"38.785375, -123.038483",38.785375,-123.038483,0,63.7,0,3,0,Offer A,1,0,1,1,Bank Withdrawal,0,51854,1,Q4,0,2,0,California,1,0,0,43,2555.11,0.0,966.47,0.0,3521.58,0,0,92543,0
39,5.48,0.0,,,20,New Meganstad,2327,Two Year,United States,2033-LQCVE,Joined,0,0,Male,0,,"38.303088, -122.083004",38.303088,-122.083004,0,100.13,0,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,27714,0,Q4,0,2,0,California,0,0,0,23,2196.39,0.0,0.0,19.66,2176.73,0,0,91207,0
38,23.81,46.96,Price,Price too high,96,Brandonborough,5572,One Year,United States,2190-RVONH,Churned,0,0,Male,0,,"37.846989, -123.11631",37.846989,-123.11631,1,72.91,0,0,9,Offer A,0,0,0,1,Bank Withdrawal,0,59039,0,Q4,1,2,0,California,0,0,0,35,2713.14,0.0,1592.63,3.55,4302.22,0,0,95654,1
44,1.86,28.3,,,53,Karenchester,5827,Month-to-Month,United States,6963-HDFVE,Joined,0,1,Male,1,Cable,"37.637657, -122.084425",37.637657,-122.084425,0,10.76,0,0,0,Offer B,1,0,1,1,Mailed Check,0,6147,1,Q4,0,4,0,California,0,0,1,21,237.36,0.0,534.94,0.0,772.3000000000001,0,1,93101,0
66,1.85,0.2,,,36,Port Jamesshire,5947,Month-to-Month,United States,335-WYTRM,Joined,3,0,Female,0,,"33.174868, -114.512633",33.174868,-114.512633,0,34.91,0,3,0,,0,0,0,0,Credit Card,0,10279,0,Q4,0,1,1,California,0,0,0,9,344.13,15.79,1.86,0.0,361.78000000000003,0,0,94779,0
26,55.15,46.22,Competitor,Limited range of services,74,Wagnerberg,5515,Two Year,United States,14-LUWLC,Churned,0,0,Male,1,DSL,"37.403655, -118.736792",37.403655,-118.736792,0,10.0,0,0,0,Offer D,0,1,1,0,Credit Card,0,80961,0,Q4,0,2,0,California,1,1,1,1,9.91,0.0,42.62,0.0,52.53,1,1,93549,1
58,11.3,29.7,,,31,Port Marco,5338,One Year,United States,405-PMLMO,Joined,1,0,Female,1,Cable,"36.007599, -115.414762",36.007599,-115.414762,1,47.2,0,1,0,,1,1,0,0,Credit Card,1,54916,1,Q4,0,5,0,California,0,1,0,30,1381.52,0.0,845.74,0.0,2227.26,0,0,95099,0
39,11.34,28.23,,,49,New Jenniferland,6064,One Year,United States,1510-LJQHO,Stayed,1,0,Female,0,,"34.421319, -120.835362",34.421319,-120.835362,0,51.9,1,1,0,Offer E,0,0,0,0,Credit Card,1,31587,0,Q4,0,3,0,California,0,0,0,42,1963.48,0.0,1129.43,25.56,3067.35,0,0,90846,0
37,15.67,46.92,,,23,Xavierport,3103,One Year,United States,4470-BVXAI,Stayed,2,0,Male,1,Fiber Optic,"37.80905, -120.259125",37.80905,-120.259125,0,10.0,0,2,10,,1,0,0,1,Bank Withdrawal,0,83167,0,Q4,1,4,0,California,1,0,1,22,225.71,0.0,1004.48,0.0,1230.19,0,1,93302,0
44,54.88,39.34,,,14,East Natalie,4882,One Year,United States,5345-KMJXM,Joined,3,0,Female,1,Fiber Optic,"34.581013, -120.623125",34.581013,-120.623125,0,119.35,1,3,3,Offer C,1,0,1,0,Credit Card,1,72400,0,Q4,1,1,0,California,0,1,1,8,1017.53,0.0,308.63,0.0,1326.1599999999999,0,1,94419,0
48,22.46,0.0,,,28,Port Julieside,3855,Month-to-Month,United States,3972-COOJY,Stayed,2,0,Male,0,,"37.195453, -123.816894",37.195453,-123.816894,0,19.92,0,2,0,Offer D,0,0,0,1,Credit Card,0,93746,0,Q4,0,4,0,California,0,0,0,30,595.15,0.0,0.0,0.0,595.15,0,0,91299,0
54,23.94,0.0,,,35,Lake Karamouth,4677,Two Year,United States,4228-HTCTE,Stayed,1,1,Male,1,Fiber Optic,"36.249669, -116.846598",36.249669,-116.846598,1,87.7,0,1,0,Offer E,0,0,0,0,Bank Withdrawal,0,97611,0,Q4,0,1,0,California,1,1,1,41,3906.93,0.0,0.0,0.0,3906.93,0,0,95318,0
39,0.0,0.0,,,26,North Amymouth,2420,Month-to-Month,United States,1043-ENLVL,Stayed,0,0,Male,0,,"39.785905, -123.853056",39.785905,-123.853056,1,91.47,1,0,0,Offer D,0,0,0,1,Bank Withdrawal,1,76755,0,Q4,0,3,0,California,0,0,0,49,4202.44,0.0,0.0,0.0,4202.44,0,0,95408,0
52,2.16,0.0,,,48,Gracestad,3324,Two Year,United States,6656-KJDSU,Stayed,2,0,Male,1,Cable,"40.445769, -119.011172",40.445769,-119.011172,1,33.11,0,2,0,Offer B,0,1,0,0,Bank Withdrawal,1,16121,1,Q4,0,2,0,California,1,1,1,68,2417.72,0.0,0.0,0.0,2417.72,0,0,92278,0
28,13.09,29.9,,,39,New Alicia,3491,Two Year,United States,9926-TNYZC,Stayed,0,0,Female,0,,"35.794291, -115.713138",35.794291,-115.713138,1,96.28,0,0,0,,0,0,0,0,Bank Withdrawal,1,68312,0,Q4,0,4,0,California,0,0,0,40,4072.75,0.0,1135.86,0.0,5208.61,1,0,92288,0
18,17.09,45.35,,,11,Curtiston,2564,Month-to-Month,United States,3685-WIYFB,Stayed,0,0,Female,0,,"41.403876, -118.389829",41.403876,-118.389829,0,46.46,0,0,0,Offer A,0,0,0,1,Credit Card,1,48704,0,Q4,0,5,0,California,0,0,0,11,468.48,56.37,477.15,0.0,1002.0,1,0,95985,0
18,0.0,0.6,,,57,Boyerberg,4204,Month-to-Month,United States,1525-UNERC,Joined,2,1,Male,1,DSL,"34.323405, -119.95135",34.323405,-119.95135,0,91.16,0,2,4,Offer A,0,1,1,0,Credit Card,0,25048,0,Q4,1,2,0,California,1,1,0,54,4615.94,0.0,31.9,0.0,4647.839999999999,1,0,95327,0
39,11.4,25.81,,,62,East Spencerview,4625,Month-to-Month,United States,9807-CSPGS,Stayed,0,0,Male,0,,"39.193849, -122.404254",39.193849,-122.404254,0,40.23,0,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,74618,0,Q4,0,1,0,California,0,0,0,40,1767.11,0.0,1105.72,4.88,2867.95,0,0,90629,0
66,22.07,0.0,,,15,Martinezside,2357,One Year,United States,136-HSNLN,Joined,1,0,Female,1,DSL,"32.958371, -121.63281",32.958371,-121.63281,0,74.48,0,1,0,Offer A,0,0,0,1,Credit Card,0,37120,0,Q4,0,5,1,California,1,0,1,87,6077.85,0.0,0.0,0.0,6077.85,0,1,91736,0
